Year,Africa,Asia,Europe,North_America,Oceania,South_America,Atlantic,Pacific,global,northern_hemisphere,southern_hemisphere
1947,0.05,-0.21,0.65,0.09,-0.05,-0.54,-0.33,-0.71,-0.07,-0.04,-0.54
1948,-0.12,0.06,-0.11,0.18,0.02,-0.32,-0.08,-0.47,-0.05,0.1,-0.32
1949,-0.05,0.03,-0.44,0.3,-0.04,-0.26,-0.05,-0.49,-0.07,-0.04,-0.26
1950,-0.6,-0.31,0.31,-0.95,-0.34,-0.04,-0.07,-0.13,-0.13,-0.21,-0.04
1951,0.1,0.15,0.7,0.06,-1.07,0.15,0.13,0.81,0.12,0.27,0.15
1952,-0.17,0.03,0.63,0.07,-0.42,0.05,0.32,0.27,0.06,0.11,0.05
1953,-0.28,0.26,0.13,0.39,-1.08,0.73,0.25,0.24,0.11,0.22,0.73
1954,-0.61,0.28,-0.09,0.29,0.09,-0.09,-0.33,-0.16,-0.1,0.03,-0.09
1955,-0.32,0.28,0.37,0.49,0.62,-0.43,0.27,-0.65,-0.03,0.12,-0.43
1956,-0.37,-0.31,-0.82,-0.21,-1.08,-0.63,-0.05,-0.17,-0.18,-0.19,-0.63
1957,0.07,-0.11,-0.08,0.12,-0.14,0.16,0.46,0.42,0.16,0.21,0.16
1958,-0.23,-0.19,0.05,0.49,0.37,-0.4,0.3,0.7,0.09,0.18,-0.4
1959,-0.34,0.29,0.37,-0.15,0.46,-0.23,-0.03,0.52,0.07,0.14,-0.23
1960,0.47,-0.17,-0.2,0.21,-1.03,-0.07,0.07,0.22,0.09,0.15,-0.07
1961,-0.45,-0.02,-0.25,0.46,-0.71,0.74,-0.02,0.18,0.05,0.1,0.74
1962,-0.15,-0.21,0.02,0.18,-0.32,-0.02,0.12,-0.16,0.07,0.06,-0.02
1963,0.08,0.11,0.38,0.17,-0.1,0.5,0.38,0.44,0.18,0.22,0.5
1964,-0.47,0,-0.79,-0.65,0.2,0.01,-0.13,-0.23,-0.16,-0.18,0.01
1965,-0.17,-0.38,-1.04,-0.46,0.2,0.35,-0.01,0.17,-0.05,-0.14,0.35
1966,0.4,0.38,-0.25,-0.35,-0.73,-0.39,0.11,-0.02,0.04,0.18,-0.39
1967,-0.42,-0.07,0.28,-0.1,-0.66,0.18,-0.02,-0.19,0.01,0.1,0.18
1968,0.31,-0.29,-0.56,-0.87,-0.87,0.25,0.1,0.13,0.01,0,0.25
1969,0.17,-0.49,0.22,0.2,0.56,-0.01,0.24,-0.16,0.11,0.08,-0.01
1970,0.13,-0.18,-0.16,0.41,-0.31,-0.06,0.01,-0.36,0.02,0.02,-0.06
1971,-0.35,-0.26,0.44,0.03,0.42,-0.03,-0.17,-0.48,-0.04,-0.12,-0.03
1972,0.27,-0.22,-0.09,-0.11,0.68,0,-0.03,0.42,0.1,-0.01,0
1973,0.12,0.05,0.05,0.36,0.87,-0.25,-0.2,-0.63,0.12,0.07,-0.25
1974,-0.08,0,0.07,-0.59,0.28,-0.08,-0.4,0.14,0.04,-0.07,-0.08
1975,-0.28,-0.03,0.55,-0.28,0.19,-0.13,-0.22,-0.41,-0.04,-0.09,-0.13
1976,-0.24,-0.25,-0.83,-0.18,-0.34,0.11,0.26,0.24,-0.05,-0.13,0.11
1977,0.26,-0.15,-0.78,-0.23,0.78,0.36,-0.08,0.34,0.16,0.09,0.36
1978,0.3,-0.53,-1.04,-0.24,-0.13,-0.46,0.09,0.48,0.01,-0.1,-0.46
1979,0.59,-0.25,-0.29,-0.23,0.34,1.1,0.23,0.37,0.24,0.1,1.1
1980,0.29,-0.15,-0.17,0.23,0.83,0.54,0.26,0.09,0.21,0.16,0.54
1981,0.05,0.37,-0.31,0.62,0.72,0.59,0.12,0.29,0.24,0.2,0.59
1982,0.17,-0.11,0.15,-0.48,1.22,0.66,-0.09,0.26,0.14,0,0.66
1983,0.5,0.32,-0.03,1.03,0.9,0.28,0.03,0.57,0.36,0.3,0.28
1984,0.56,-0.1,-0.49,0.61,0.24,-0.33,-0.15,-0.03,0.19,0.11,-0.33
1985,0.4,0.22,0.33,-0.48,0.83,0.08,-0.08,0.36,0.16,0.03,0.08
1986,0.59,-0.08,0.11,-0.23,-0.27,0.62,-0.15,0.06,0.2,0.12,0.62
1987,0.95,0.4,-0.95,-0.24,0.15,0.37,0.62,0.9,0.4,0.36,0.37
1988,0.46,0.31,0.31,0.7,0.78,0.46,0.07,-0.2,0.34,0.32,0.46
1989,0.49,0.08,0.57,0.42,-0.69,0.51,0.11,0.13,0.32,0.3,0.51
1990,0.53,0.31,0.67,0.39,0.09,0.77,0.55,0.62,0.39,0.42,0.77
1991,0.24,0.16,0.89,0.74,0.38,0.28,0,0.03,0.37,0.36,0.28
1992,-0.01,-0.31,1.49,-0.73,0.4,0.17,0.06,0.61,0.11,-0.01,0.17
1993,0.54,-0.07,-0.14,0.16,0.78,0.36,-0.03,0.52,0.22,0.11,0.36
1994,0.26,0.27,1.14,0.36,-0.18,0.51,-0.04,0.5,0.3,0.36,0.51
1995,1,0.7,0.83,0.62,1.02,0.71,0.5,0.03,0.5,0.59,0.71
1996,0.51,-0.25,0.71,0.19,0.83,1.06,0.1,0.3,0.35,0.28,1.06
1997,0.85,0.45,1.32,0.37,0.24,0.86,0.57,0.97,0.55,0.56,0.86
1998,0.91,1.23,0.48,1.2,1.59,1.12,0.59,0.05,0.71,0.8,1.12
1999,0.56,0.41,0.71,0.68,0.87,0.49,0.37,-0.65,0.36,0.38,0.49
